Code system;Method;Embedding model;LLM;Accuracy;Partial Accuracy;F1 weighted (exact);F1 weighted (partial);F1 macro (exact);F1 macro (partial);Malformed
ICD-O-3;RAG-prompting similarity search;ModernBERT;Llama 3.3 PEFT;40.07;64.28;47.82;71.53;30.13;61.21;1.19
ICD-O-3;RAG-prompting similarity search;Nomic Embed v2;Llama 3.1 base;18.58;41.95;21.83;49.91;16.72;33.44;38.54
ICD-O-3;RAG-prompting similarity search;Nomic Embed v2;Llama 3.1 PEFT;21.29;58.5;26.41;64.6;16.86;51.33;0.44
ICD-O-3;RAG-prompting similarity search;Nomic Embed v2;Llama 3.3 base;35.57;72.04;40.27;76.8;24.72;62.98;0.99
ICD-O-3;RAG-prompting similarity search;Nomic Embed v2;Llama 3.3 PEFT;39.62;63.44;47.61;71.05;29.02;61.36;2.42
ICD-O-3;RAG-prompting similarity search;Qwen3-Embedding-8B;Llama 3.1 base;20.06;47.08;23.22;54.38;17.14;34.59;34.29
ICD-O-3;RAG-prompting similarity search;Qwen3-Embedding-8B;Llama 3.1 PEFT;21.39;61.51;26.1;66.57;17.78;48.55;0.49
ICD-O-3;RAG-prompting similarity search;Qwen3-Embedding-8B;Llama 3.3 base;39.58;74.95;44.04;78.96;27.01;63.98;0.99
ICD-O-3;RAG-prompting similarity search;Qwen3-Embedding-8B;Llama 3.3 PEFT;42.84;66.16;50.17;73.25;30.54;62.99;1.73
ICD-O-3;RAG-prompting similarity search;SapBERT;Llama 3.1 base;18.38;43.87;21.67;52.13;15.46;35.2;32.76
ICD-O-3;RAG-prompting similarity search;SapBERT;Llama 3.1 PEFT;22.73;60.57;28.34;66.32;17.21;48.35;0.79
ICD-O-3;RAG-prompting similarity search;SapBERT;Llama 3.3 base;34.58;72.48;39.12;77.09;25.56;61.76;0.69
ICD-O-3;RAG-prompting similarity search;SapBERT;Llama 3.3 PEFT;40.71;63.74;48.32;71.12;31.76;64.33;1.28
ICD-O-3;RAG-prompting similarity search;deepset-mxbai-embed;Llama 3.1 base;18.82;45.21;21.78;53.43;17.24;38.03;35.97
ICD-O-3;RAG-prompting similarity search;deepset-mxbai-embed;Llama 3.1 PEFT;22.92;58.65;28.61;64.43;18.63;49.21;0.44
ICD-O-3;RAG-prompting similarity search;deepset-mxbai-embed;Llama 3.3 base;36.26;72.83;41.13;77.39;28.07;63.21;1.04
ICD-O-3;RAG-prompting similarity search;deepset-mxbai-embed;Llama 3.3 PEFT;41.11;65.07;48.54;72.2;29.56;62.67;1.48
ICD-O-3;RAG-prompting similarity search;jina-embeddings-v2;Llama 3.1 base;19.27;45.95;22.49;53.44;15.53;35.4;33.05
ICD-O-3;RAG-prompting similarity search;jina-embeddings-v2;Llama 3.1 PEFT;21.29;56.03;26.63;62.21;17.45;47.87;0.64
ICD-O-3;RAG-prompting similarity search;jina-embeddings-v2;Llama 3.3 base;35.23;71.1;39.92;76.1;23.61;62.79;1.58
ICD-O-3;RAG-prompting similarity search;jina-embeddings-v2;Llama 3.3 PEFT;39.77;63.14;47.82;70.53;29.75;61.21;1.53
ICD-O-3;RAG-prompting similarity search;jina-embeddings-v3;Llama 3.1 base;18.03;44.12;21.16;51.95;15.81;34.8;36.51
ICD-O-3;RAG-prompting similarity search;jina-embeddings-v3;Llama 3.1 PEFT;22.38;59.49;27.2;65.59;17.45;51.64;0.74
ICD-O-3;RAG-prompting similarity search;jina-embeddings-v3;Llama 3.3 base;36.26;72.88;40.86;77.46;24.22;64.33;1.24
ICD-O-3;RAG-prompting similarity search;jina-embeddings-v3;Llama 3.3 PEFT;40.76;64.53;48.56;71.85;30.53;62.87;1.09
ICD-O-3;RAG-prompting similarity search;mE5;Llama 3.1 base;18.68;44.12;22.08;52.55;15.93;36.64;35.03
ICD-O-3;RAG-prompting similarity search;mE5;Llama 3.1 PEFT;23.67;60.28;29.24;65.89;17.41;49.2;0.35
ICD-O-3;RAG-prompting similarity search;mE5;Llama 3.3 base;37.2;72.48;41.49;77.2;24.93;63.79;1.33
ICD-O-3;RAG-prompting similarity search;mE5;Llama 3.3 PEFT;39.62;64.38;47.22;71.85;28.49;63.52;1.19
ICD-O-3;RAG-prompting similarity search;medBERT.de;Llama 3.1 base;14.03;43.33;14.89;50.74;12.63;32.31;31.67
ICD-O-3;RAG-prompting similarity search;medBERT.de;Llama 3.1 PEFT;22.08;55.34;28.41;61.82;18.18;48.31;1.04
ICD-O-3;RAG-prompting similarity search;medBERT.de;Llama 3.3 base;32.36;70.11;36.75;75.08;22.79;58.58;0.69
ICD-O-3;RAG-prompting similarity search;medBERT.de;Llama 3.3 PEFT;39.48;64.03;46.82;71.15;30.0;61.7;0.84
ICD-O-3;RAG-prompting classifier head;ModernBERT;Llama 3.1 base;11.76;36.76;13.48;45.13;10.78;31.18;37.15
ICD-O-3;RAG-prompting classifier head;ModernBERT;Llama 3.1 PEFT;26.04;56.13;31.82;62.26;19.3;49.0;0.64
ICD-O-3;RAG-prompting classifier head;ModernBERT;Llama 3.3 base;29.64;68.28;34.01;73.79;22.6;58.28;0.89
ICD-O-3;RAG-prompting classifier head;ModernBERT;Llama 3.3 PEFT;38.19;62.94;45.78;70.16;28.53;59.92;1.19
ICD-O-3;RAG-prompting classifier head;Nomic Embed v2;Llama 3.1 base;16.25;40.51;18.16;49.1;14.81;34.68;33.2
ICD-O-3;RAG-prompting classifier head;Nomic Embed v2;Llama 3.1 PEFT;24.75;58.05;30.79;63.7;17.58;49.66;0.64
ICD-O-3;RAG-prompting classifier head;Nomic Embed v2;Llama 3.3 base;31.52;70.31;36.55;75.44;24.64;62.33;1.09
ICD-O-3;RAG-prompting classifier head;Nomic Embed v2;Llama 3.3 PEFT;38.19;62.65;45.89;69.95;30.2;60.35;1.33
ICD-O-3;RAG-prompting classifier head;Qwen3-Embedding-8B;Llama 3.1 base;18.92;46.84;21.23;54.39;16.25;36.53;32.11
ICD-O-3;RAG-prompting classifier head;Qwen3-Embedding-8B;Llama 3.1 PEFT;20.95;59.24;25.93;64.5;16.98;49.96;0.25
ICD-O-3;RAG-prompting classifier head;Qwen3-Embedding-8B;Llama 3.3 base;34.54;72.53;39.25;77.48;26.55;64.5;1.58
ICD-O-3;RAG-prompting classifier head;Qwen3-Embedding-8B;Llama 3.3 PEFT;39.48;63.88;47.31;71.37;28.95;61.46;2.17
ICD-O-3;RAG-prompting classifier head;SapBERT;Llama 3.1 base;15.17;40.12;17.11;48.72;14.58;37.0;33.79
